NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR  , OMSET , PAJAK 1% ,POT 2% LJU,5% UJ GRB, SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,MBAH MAN (SILOG)/DO,PEMBAYARAN,CATATAN,TOLERANSI MUATAN 0.3%,KLAIM 
,Pengeluaran ,,"50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"6.368.805,65","127.910,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"318.440,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 50jt/580jt,"0,08620689655","6.050.365,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"521.583,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mas Dhian,Koreksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pemasukkan,"22.461.074,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pengeluaran ,"2.773.600,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Profit ,"2.058.757,58",Dapat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Klaim,"805.530,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2069232,973","2058757,585","10475,38793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 Mei 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"22.238.211,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Mei 2026,,"12.058.600,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"10.177.551,67","Rp2.060,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"508.877,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","9.668.674,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"833.506,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 25jt/580jt,"0,04310344828","9.668.674,09",Koreksi April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"416.753,19","406.277,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 12jt/580jt,"0,02068965517","9.668.674,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"200.041,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"8.218.372,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"8.727.250,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"10.177.551,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-30 Juni 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"20.061.437,68",Deal,Lebih ,"3.541.400,00",,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-30 Juni 2026,,"1.458.600,00","5.000.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"18.602.837,68","15.061.437,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"930.141,88","753.071,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","17.672.695,79","14.308.365,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.523.508,26","1.233.479,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 25jt/580jt,"0,04310344828","17.672.695,79","15.061.437,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"761.754,13","649.199,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 14.5jt/580jt,"0,025","17.672.695,79","14.308.365,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"441.817,39","357.709,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"14.945.616,01","12.067.976,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"15.875.757,89","12.821.048,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"18.602.837,68","15.061.437,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 Juli 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"19.820.348,01","Revisi sblm 19870348,014608",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Juli 2026,,"13.631.840,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"6.188.508,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"309.425,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","5.879.082,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"506.817,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 25jt/580jt,"0,04310344828","5.879.082,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"253.408,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 15jt/580jt,"0,02586206897","5.879.082,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"152.045,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"4.966.811,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"5.276.236,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"6.188.508,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 Agustus 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"15.762.457,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Agustus 2026,,"2.523.600,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"13.238.857,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"661.942,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","12.576.914,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.084.216,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 18jt/580jt,"0,03103448276","12.576.914,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"390.318,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"11.102.380,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"11.764.322,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"13.238.857,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 September 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"14.567.062,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-30 September 2026,,"2.523.600,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"12.043.462,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"602.173,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","11.441.289,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"986.318,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 20jt/580jt,"0,03448275862","11.441.289,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"394.527,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"10.060.444,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"10.662.617,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"12.043.462,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
